source,target
Hengjian Cui,Xuming He
Xingdong Feng,Xuming He
Wing Fung,Xuming He
Babette Brumback,Zhulin He
Amy B. Dailey,Zhulin He
Benjamin French,Patrick Heagerty
Kasra Afsarinejad,S. Hedayat
Hegang Chen,S. Hedayat
Gregory Constantine,S. Hedayat
Hakan Demirtas,Donald Hedeker
Robert D. Gibbons,Donald Hedeker
Julia Braun,Leonhard Held
Christophe Crambes,Yousri Henchiri
Ali Gannoun,Yousri Henchiri
Peter Diggle,Robin Henderson
Kathleen Hall,Hugh C. Hendrie
Brian Caffo,Craig Hendrix
Julie E. Buring,Charles H. Hennekens
Nancy R. Cook,Charles H. Hennekens
Ivette Gomes,Lígia Henriques Rodrigues
Marc Aerts,Niel Hens
Philippe Beutels,Niel Hens
Christel Faes,Niel Hens
Nele Goeyvaerts,Niel Hens
David B. Allison,Moonseong Heo
Ori Davidov,Amir Herman
Babette Brumback,Miguel A. Hernán
Francisco José A. Cysneiros,Luis Hernando Vanegas
David Dunson,Amy Herring
Montserrat Fuentes,Amy Herring
Theo Gasser,Eva Herrmann
David F. Andrews,Agnes M. Herzberg
Bruce M. Brown,Thomas P. Hettmansperger
Ryan Elmore,Thomas P. Hettmansperger
James Gattiker,Dave Higdon
Edward J. Bedrick,Joe R. Hill
Clarice G. B. Demétrio,John Hinde
Friedrich Götze,Christian Hipp
Robert M. Elashoff,Karim F. Hirji
Wen Cheng,David B. Hitchcock
Ian Dryden,David B. Hitchcock
Gerda Claeskens,Nils Lid Hjort
Bradley Carlin,Brian P. Hobbs
James Booth,James P. Hobert
George Casella,James P. Hobert
Paddy Farrington,Mounia Hocine
Bradley Carlin,Jim Hodges
Narayanaswamy Balakrishnan,Glenn Hofmann
Dianne Cook,Heike Hofmann
Michael Daniels,Joseph W. Hogan
Holger Dette,Tim Holland-letz
Siu Hung Cheung,Burt Holland
Alan Gelfand,David M. Holland
Yuan-yan Chen,Myles Hollander
Niall M. Adams,Chris Holmes
David G. T. Denison,Chris Holmes
Dipak Dey,Kent E. Holsinger
Nicolai Bissantz,Hajo Holzmann
Jörn Dannemann,Hajo Holzmann
Raymond Carroll,Meeyoung Hong
Vincent Carey,Donald R. Hoover
Joan Chmiel,Donald R. Hoover
R Detels,Donald R. Hoover
Alexander Aue,Siegfried Hörmann
Peter Auer,Kurt Hornik
Bettina Grün,Kurt Hornik
Peter Hall,Joel Horowitz
Garrett Fitzmaurice,Nick Horton
Alexander Aue,Lajos Horváth
István Berkes,Lajos Horváth
Murray D. Burke,Lajos Horváth
Miklós Csörgő,Lajos Horváth
Sándor Csörgő,Lajos Horváth
Robertas Gabrys,Lajos Horváth
Edit Gombay,Lajos Horváth
Siegfried Hörmann,Lajos Horváth
Paul Gustafson,Shahadut Hossain
Christophe Croux,Ola Hössjer
Attila Frigyesi,Ola Hössjer
Frank Bretz,Ludwig A. Hothorn
Peter Bühlmann,Torsten Hothorn
Kurt Hornik,Torsten Hothorn
Sergey Bobkov,Christian Houdré
Hongbin Fang,Peter J. Houghton
Rebecca Betensky,E. Andrés Houseman
Brent Coull,E. Andrés Houseman
Stacia M. Desantis,E. Andrés Houseman
Peter Filzmoser,Karel Hron
Aidong Adam Ding,Jin-jian Hsieh
I Shou Chang,Chao A. Hsiung
Yuan-chuan Chuang,Chao A. Hsiung
Frank Bretz,Jason Hsu
Don Edwards,Jason Hsu
Malka Gorfine,Li Hsu
James J. Chen,Huey-miin Hsueh
Kuang Fu Cheng,Huey-miin Hsueh
Wai Sum Chan,Feifang Hu
Siu Hung Cheung,Feifang Hu
Xuming He,Jianhua Hu
Huaihou Chen,Taizhong Hu
Hengjian Cui,Tao Hu
Jianqing Fan,Tien Chung Hu
Wing Fung,Yue-qing Hu
Philippe Carmona,Yueyun Hu
Dean Follmann,Zonghui Hu
Dean Follmann,Chiung-yu Huang
Peter Bickel,Haiyan Huang
Noel Cressie,Hsin-cheng Huang
Patrick Breheny,Jian Huang
Joel Horowitz,Jian Huang
Raymond Carroll,Jianhua Huang
Guang Cheng,Jianhua Huang
Jianhua Hu,Jianhua Huang
Jianqing Fan,Li-shan Huang
Peter Hall,Li-shan Huang
Jianqing Fan,Tao Huang
Sangbum Choi,Xuelin Huang
Janice Cormier,Xuelin Huang
Getachew Dagne,Yangxin Huang
Ziding Feng,Ying 1 Huang
Peter Gilbert,Ying 1 Huang
E. M. Carter,J. J. Hubert
Andreas Christmann,Mia Hubert
Michiel Debruyne,Mia Hubert
Thomas Hotz,Stephan Huckemann
Peter Gilbert,Michael G. Hudgens
M. Elizabeth Halloran,Michael G. Hudgens
Ishwar Basawa,Richard Huggins
Quang M. Bui,Richard Huggins
Sujuan Gao,Siu Hui
Chin-tsang Chiang,Hung Hung
Paul S. Albert,Sally Hunsberger
Dean Follmann,Sally Hunsberger
Nancy Geller,Sally Hunsberger
Mohamed Alosh,Mohammad Huque
Fahimah Al-awadhi,Merrilee Hurn
Willa W. Chen,Clifford Hurvich
Jaromír Antoch,Marie Hušková
Alexander Aue,Marie Hušková
Lajos Horváth,Marie Hušková
Wolfgang Bischoff,Jürg Hüsler
Enkelejd Hashorva,Jürg Hüsler
S. Ejaz Ahmed,Abdulkadir Hussein
Edit Gombay,Abdulkadir Hussein
Steve Y. H. Huang,Longcheen Huwang
James Booth,S. Huzurbazar
Ronald Butler,S. Huzurbazar
J. S. Baek,Sun Young Hwang
Ishwar Basawa,Sun Young Hwang
M. S. Choi,Sun Young Hwang
Anne Chao,Wen-han Hwang
Steve Y. H. Huang,Wen-han Hwang
Richard Huggins,Wen-han Hwang
Rui Chen,Ollivier Hyrien
Inna Chervoneva,Terry Hyslop
Walter W. Hauck,Terry Hyslop
Elizabeth R. Brown,Joseph Ibrahim
Ming-hui Chen,Joseph Ibrahim
Qingxia Chen,Joseph Ibrahim
Yueh-yun Chi,Joseph Ibrahim
Hyunsoon Cho,Joseph Ibrahim
Haitao Chu,Joseph Ibrahim
Stephen R. Cole,Joseph Ibrahim
Garrett Fitzmaurice,Joseph Ibrahim
Ramon I. Garcia,Joseph Ibrahim
Mayetri Gupta,Joseph Ibrahim
Amy Herring,Joseph Ibrahim
Björn Bornkamp,Katja Ickstadt
Jacobo De Uña-álvarez,Maria Carmen Iglesias-pérez
Reinaldo B. Arellano-valle,Pilar Iglesias
Heleno Bolfarine,Pilar Iglesias
Inna Chervoneva,Boris Iglewicz
Narayanaswamy Balakrishnan,George Iliopoulos
Ori Davidov,George Iliopoulos
Holger Dette,Lorens Imhof
Linda M. Haines,Lorens Imhof
Ruth Etzioni,Lurdes Y. T. Inoue
Rebecca A. Hubbard,Lurdes Y. T. Inoue
Min 1 Chen,Waicheung Ip
Mohammad Arashi,Anis Iranmanesh
Eugene H. Blackstone,Hemant Ishwaran
Jan Hannig,Hari Iyer
Nicky Best,Chris Jackson
Rose Baker,Dan Jackson
Jack Bowden,Dan Jackson
Stéphane Girard,Pierre Jacob
Joan Chmiel,L P Jacobson
Donald R. Hoover,L P Jacobson
Yacine Aït-sahalia,Jean Jacod
Daniel Commenges,Hélène Jacqmin-gadda
Jean-françois Dartigues,Hélène Jacqmin-gadda
Christophe Biernacki,Julien Jacques
Armin Hatefi,Mohammad Jafari Jozani
Yongtao 1 Guan,Abdollah Jalilian
Narayanaswamy Balakrishnan,Ahad Jamalizadeh
Trevor Hastie,Gareth James
Barry James,Kang James
Hemant Ishwaran,Lancelot James
Magnus Ekström,Sreenivasa R. Jammalamadaka
Kaushik Ghosh,Sreenivasa R. Jammalamadaka
Frank Bretz,Mortaza Jamshidian
Ying 1 Huang,Holly Janes
Michael Evans,Gun Ho Jang
Allan Gut,Svante Janson
Marc Aerts,Paul Janssen
Ricardo Cao,Paul Janssen
Luc Duchateau,Paul Janssen
María José García-zattera,Alejandro Jara
Timothy Hanson,Alejandro Jara
Pierre Del Moral,Ajay Jasra
Arnaud Doucet,Ajay Jasra
Chris Holmes,Ajay Jasra
Richard Davis,F. Jay Breidt
Nan-jung Hsu,F. Jay Breidt
Valentine Genon-catalot,Thierry Jeantheau
Siddhartha Chib,Ivan Jeliazkov
Tony Cai,X. Jessie Jeng
Theo Gasser,Christel Jennen
Merrilee Hurn,Christopher Jennison
Jian Shen Chen,Robert I. Jennrich
Mortaza Jamshidian,Robert I. Jennrich
Jason Fine,Jong-hyeon Jeong
Peter Bacchetti,Nicholas P. Jewell
Enkelejd Hashorva,Lanpeng Ji
B. Nebiyou Bekele,Yuan Ji
Rick Chappell,Hongyu Jiang
Jason Fine,Hongyu Jiang
Jianqing Fan,Jiancheng Jiang
Tony Cai,Tiefeng Jiang
Jiancheng Jiang,Xuejun Jiang
Tony Cai,Jiashun Jin
David Donoho,Jiashun Jin
Peter Hall,Jiashun Jin
Kani Chen,Zhezhen Jin
Peter Hall,Bingyi Jing
Lawrence 1 Brown,Jiunn Tzon Hwang
George Casella,Jiunn Tzon Hwang
Aidong Adam Ding,Jiunn Tzon Hwang
S. W. Dharmadhikari,Kumar Joag-dev
Narasinga Rao Chaganty,Harry Joe
Michael Elliott,Marshall Joffe
John A. Eccleston,J. A. John
Matthias Chung,Brent A. Johnson
Michael Akritas,Richard Johnson
Vern Farewell,Tony Johnson
Edward J. Bedrick,Wesley Johnson
Adam J. Branscum,Wesley Johnson
Ronald Christensen,Wesley Johnson
Ian A. Gardner,Wesley Johnson
Joseph L. Gastwirth,Wesley Johnson
Seymour Geisser,Wesley Johnson
Timothy Hanson,Wesley Johnson
David Donoho,Iain Johnstone
Anders Ekholm,Jukka Jokinen
Xavier Bardina,Maria Jolis
Daniel Commenges,Pierre Joly
Jean-françois Dartigues,Pierre Joly
Hélène Jacqmin-gadda,Pierre Joly
Valerii Fedorov,Byron Jones
Philip Jarvis,Byron Jones
Ian T. Jolliffe,Byron Jones
Keith R. Abrams,David R. Jones
Brian Caffo,Galin L. Jones
James M. Flegal,Galin L. Jones
James P. Hobert,Galin L. Jones
Alicia A. Johnson,Galin L. Jones
Wesley Johnson,Geoff Jones
Ayanendranath Basu,M. C. Jones
Malcolm J. Faddy,M. C. Jones
Peter Hall,M. C. Jones
Nils Lid Hjort,M. C. Jones
John Crowley,Michael P. Jones
Piet Groeneboom,Geurt Jongbloed
Christophe Croux,Kristel Joossens
Daniel Conus,Mathew Joseph
Alexander Goldenshluger,Anatoli Juditsky
Muhammad 1 Aslam,Chi-hyuck Jun
S. Balamurali,Chi-hyuck Jun
Chul Ahn,Sin-ho Jung
Jong-hyeon Jeong,Sin-ho Jung
Ole Barndorff-nielsen,Peter E. Jupp
Rachel Fewster,Peter E. Jupp
Yadolah Dodge,Jana Jurečková
Marc Hallin,Jana Jurečková
Ricardo Fraiman,Ana Justel
Arjun Gupta,D. G. Kabe
Sebastian Engelke,Zakhar Kabluchko
Peter Boatwright,Joseph Kadane
Sharad Borle,Joseph Kadane
Shakti Banerjee,Sanpei Kageyama
Bhagwandas,Sanpei Kageyama
Ashish Das,Sanpei Kageyama
Sudhir Gupta,Sanpei Kageyama
Noel Cressie,Mark S. Kaiser
Jerzy K. Baksalary,Radosław Kala
Jiahua Chen,John D. Kalbfleisch
Walter W. Hauck,John D. Kalbfleisch
Peter Bühlmann,Markus Kalisch
S. Balamurali,M. Kalyanasundaram
Narayanaswamy Balakrishnan,Udo Kamps
Eric Beutner,Udo Kamps
Marco Burkschat,Udo Kamps
Erhard Cramer,Udo Kamps
Paddy Farrington,Mona N. Kanaan
Yasunori Fujikoshi,Takashi Kanda
Noel Cressie,Emily L. Kang
Peter Hall,Kee-hoon Kang
Jan Hannig,Kee-hoon Kang
Jianwen Cai,Sangwook Kang
Sy Han Chiou,Sangwook Kang
Chul Ahn,Seung-ho Kang
Sin-ho Jung,Seung-ho Kang
Narayanaswamy Balakrishnan,Nandini Kannan
Peter M. Bentler,Yutaka Kano
Maia Berkane,Yutaka Kano
Dulal Bhaumik,Kush Kapur
Jayant V. Deshpandé,S. R. Karia
Amir Dembo,Samuel Karlin
Nathalie Eisenbaum,Haya Kaspi
Sam Behseta,Robert Kass
Joseph Kadane,Robert Kass
Yutaka Kano,Shota Katayama
Alan Agresti,Maria Kateri
Narayanaswamy Balakrishnan,Maria Kateri
Udo Kamps,Maria Kateri
M. C. Jones,Shogo Kato
Jianqing Fan,Zheng Tracy Ke
Mike Jacroux,Bonni Kealy-dichone
Narayanaswamy Balakrishnan,Jerome P. Keating
Danny Dyer,Jerome P. Keating
Konstantinos Fokianos,Benjamin Kedem
Per Anderson,Niels Keiding
Nelida Ferretti,Diana Kelmansky
Arthur Cohen,J. H. B. Kemperman
Olcay Arslan,John Kent
Patrick D. L. Constable,John Kent
Caroline Beunckens,Mike Kenward
Brian Cullis,Mike Kenward
Els Goetghebeur,Mike Kenward
Byron Jones,Mike Kenward
Paolo Baldi,Gérard Kerkyacharian
Peter Hall,Gérard Kerkyacharian
Iain Johnstone,Gérard Kerkyacharian
Jiahua Chen,Abbas Khalili
Malay Ghosh,Kshitij Khare
James P. Hobert,Kshitij Khare
Kyeong S. Jeong,Arkady Khodursky
Richard Bass,Davar Khoshnevisan
Daniel Conus,Davar Khoshnevisan
Mathew Joseph,Davar Khoshnevisan
Tony Hayter,S. Kiatsupaibul
Siegfried Hörmann,Łukasz Kidziński
Tim Friede,Meinhard Kieser
Malay Ghosh,Dalho Kim
Sanggil Kang,Dalho Kim
Michael G. Hudgens,Hae-young Kim
Michael P. Fay,Hyune-ju Kim
Eric J. Feuer,Hyune-ju Kim
Noah Cohen,Inyoung Kim
David Demets,Kyungmann Kim
Malay Ghosh,Myung Joon Kim
Dalho Kim,Myung Joon Kim
Zhen Qing Chen,Panki Kim
Changha Hwang,Sujong Kim
Stephen Fienberg,Sung-ho Kim
Ming-hui Chen,Sungduk Kim
Joseph Ibrahim,Sungduk Kim
Dennis Cox,Tae Yoon Kim
Sun Young Hwang,Tae Yoon Kim
M. C. Jones,Woochul Kim
Choongrak Kim,Woochul Kim
Hosik Choi,Yongdai Kim
Jinseog Kim,Yongdai Kim
Steve 1 Brooks,Ruth King
Vincent Carey,Lawrence Kingsley
Joan Chmiel,Lawrence Kingsley
Donald R. Hoover,Lawrence Kingsley
L P Jacobson,Lawrence Kingsley
Dennis W. Buckman,Victor Kipnis
Raymond Carroll,Victor Kipnis
Kevin W. Dodd,Victor Kipnis
Laurence Freedman,Victor Kipnis
Patricia M. Guenther,Victor Kipnis
Jean-yves Dauxois,Syed N. U. A. Kirmani
Nader Ebrahimi,Syed N. U. A. Kirmani
Ramesh Gupta,Syed N. U. A. Kirmani
Holger Dette,Christine Kiss
Scott Emerson,John M. Kittelson
Daniel L. Gillen,John M. Kittelson
Allan Donner,Neil Klar
Marjorie Hahn,Michael Klass
Per Anderson,John Klein
Niels Keiding,John Klein
Barbara Klein,Ronald Klein
Joseph Ibrahim,Ken Kleinman
Ludwig Fahrmeir,Thomas Kneib
Benjamin Hofner,Thomas Kneib
Torsten Hothorn,Thomas Kneib
Nadja Klein,Thomas Kneib
Theo Gasser,Alois Kneip
Ingrid A. Amara,Gary Koch
Daniel H. Freeman,Gary Koch
Jean L. Freeman,Gary Koch
Dennis B. Gillings,Gary Koch
Peter B. Imrey,Gary Koch
Isha Bagai,Subhash Kochar
Jayant V. Deshpandé,Subhash Kochar
Richard Dykstra,Subhash Kochar
Hammou El Barmi,Subhash Kochar
Christian Genest,Subhash Kochar
Baha-eldin Khaledi,Subhash Kochar
Hongshik Ahn,Ralph L. Kodell
James J. Chen,Ralph L. Kodell
Peter Bauer,Franz Koenig
Werner Brannath,Franz Koenig
Frank Bretz,Franz Koenig
Gilbert Bassett,Roger Koenker
Hemant Ishwaran,Udaya B. Kogalur
Tina Felber,Michael Kohler
Michael Hamers,Michael Kohler
Theo Gasser,Walter Köhler
Craig F. Ansley,Robert Kohn
Chris Carter,Robert Kohn
David Chan,Robert Kohn
Paolo 2 Giordani,Robert Kohn
Mark Holmes,Ivan Kojadinovic
Dimitris Fouskakis,George Kokolakis
István Berkes,Piotr Kokoszka
Robertas Gabrys,Piotr Kokoszka
Oleksandr Gromenko,Piotr Kokoszka
Siegfried Hörmann,Piotr Kokoszka
Lajos Horváth,Piotr Kokoszka
Marie Hušková,Piotr Kokoszka
Arthur Cohen,John Kolassa
V. K. Gupta,Basudev Kole
Jim E. Griffin,M. Kolossiatis
Evarist Giné,Vladimir Koltchinskii
Jianwen Cai,Lan Kong
Bingyi Jing,Xinbing Kong
Edgar Brunner,Frank Konietschke
Stefan Adams,Wolfgang König
Frank Den Hollander,Wolfgang König
James Y. Dai,Charles Kooperberg
Mark H. Hansen,Charles Kooperberg
Ziding Feng,Joseph Koopmeiners
Sheldon Baumrind,Edward L. Korn
Boris Freidlin,Edward L. Korn
Barry Graubard,Edward L. Korn
Huiman X. Barnhart,Andrzej S. Kosinski
Rick Chappell,Michael R. Kosorok
Guang Cheng,Michael R. Kosorok
Jason Fine,Michael R. Kosorok
Alan Gelfand,Athanasios Kottas
Norman Johnson,Samuel Kotz
Emmanouil Androulakis,Christos Koukouvinos
P. Angelopoulos,Christos Koukouvinos
Kashinath Chatterjee,Christos Koukouvinos
Krystallenia Drosou,Christos Koukouvinos
Haralambos Evangelaras,Christos Koukouvinos
Stelios D. Georgiou,Christos Koukouvinos
E. Kolaiti,Christos Koukouvinos
Liudas Giraitis,Hira L. Koul
Panayiotis Bobotas,Stavros Kourouklis
George Iliopoulos,Stavros Kourouklis
Demetrios L. Antzoulakos,Markos Koutras
Narayanaswamy Balakrishnan,Markos Koutras
S. Bersimis,Markos Koutras
James Fu,Markos Koutras
Allan Donner,John J. Koval
Paul Crits-christoph,Jeanne Kowalski
Changyong Feng,Jeanne Kowalski
Itai Benjamini,Gady Kozma
Hugo Duminil-copin,Gady Kozma
John H. J. Einmahl,Andrea Krajina
Stuart G. Baker,Barnett S. Kramer
Dennis W. Buckman,Susan M. Krebs-smith
Raymond Carroll,Susan M. Krebs-smith
Kevin W. Dodd,Susan M. Krebs-smith
Laurence Freedman,Susan M. Krebs-smith
Patricia M. Guenther,Susan M. Krebs-smith
Victor Kipnis,Susan M. Krebs-smith
Karl Bang Christensen,Svend Kreiner
Niels Keiding,Svend Kreiner
Richard Burnett,Daniel Krewski
Karen Y. Fung,Daniel Krewski
Joseph L. Gastwirth,Abba Krieger
Zvi Gilula,Abba Krieger
Paul E. Green,Abba Krieger
Zhidong Bai,P. R. Krishnaiah
C. Fang,P. R. Krishnaiah
Scott M. Jordan,K. Krishnamoorthy
Göran Kauermann,Tatyana Krivobokova
Harry Joe,Pavel Krupskii
Trevor Bailey,Wojtek Krzanowski
David Hand,Wojtek Krzanowski
Luc Devroye,Adam Krzyżak
Michael Kohler,Adam Krzyżak
Sonja Greven,Helmut Küchenhoff
Uwe Einmahl,Jim Kuelbs
Victor Goodman,Jim Kuelbs
Philip Griffin,Jim Kuelbs
Marjorie Hahn,Jim Kuelbs
Thomas Diciccio,Todd A. Kuffner
Claudia Klüppelberg,Gabriel Kuhn
Dankmar Böhning,Ronny Kuhnert
Jennifer S. K. Chan,Anthony Kuk
Michael B. Dollinger,Elena Kulinskaya
Renato Assunção,Martin Kulldorff
Luiz Duczmal,Martin Kulldorff
Lan Huang,Martin Kulldorff
Inkyung Jung,Martin Kulldorff
Ken Kleinman,Martin Kulldorff
Richard Bass,Takashi Kumagai
Zhen Qing Chen,Takashi Kumagai
Manohar Aggarwal,Mithilesh Kumar Jha
Lih-yuan Deng,Mithilesh Kumar Jha
Satish K. Agarwal,Pranesh Kumar
V. K. Gupta,Pranesh Kumar
Ian Dryden,Alfred Kume
Narayanaswamy Balakrishnan,Debasis Kundu
Rameshwar Gupta,Debasis Kundu
Nandini Kannan,Debasis Kundu
Dipak Dey,Lynn Kuo
Jeanne Kowalski,D. J. Kupfer
K. Govindaraju,Vellaisamy Kuralmani
Tony Hayter,Satoshi Kuriki
Patrick Heagerty,Brenda F. Kurland
Peter Donnelly,Thomas Kurtz
Jungnam Joo,Minjung Kwak
Hosik Choi,Sunghoon Kwon
Yongdai Kim,Sunghoon Kwon
Siu Hung Cheung,Koon Shing Kwong
George Casella,Minjung Kyung
Jeff Gill,Minjung Kyung
David Borchers,Jeffrey L. Laake
Stephen T. Buckland,Jeffrey L. Laake
John Buonaccorsi,Petter Laake
Marie Davidian,Eric Laber
Oliver Bautista,John Lachin
Carlos A. Abanto-valle,Victor H. Lachos
Reinaldo B. Arellano-valle,Victor H. Lachos
Dipankar 1 Bandyopadhyay,Victor H. Lachos
Heleno Bolfarine,Victor H. Lachos
Celso Rômulo Barbosa Cabral,Victor H. Lachos
Vicente G. Cancho,Victor H. Lachos
Luis M. Castro,Victor H. Lachos
Denise Reis Costa,Victor H. Lachos
Dipak Dey,Victor H. Lachos
Aldo M. Garay,Victor H. Lachos
Pulak Ghosh,Victor H. Lachos
Burcu Aydin,Alim Ladha
Elizabeth Bullitt,Alim Ladha
Carmen Cadarso-suárez,María José Lado
Helena Geys,Annouschka Laenen
Martin Bilodeau,Pierre Lafaye De Micheaux
Raji Balasubramanian,Stephen Lagakos
Victor De Gruttola,Stephen Lagakos
X. J. Hu,Stephen Lagakos
Annibale Biggeri,Corrado Lagazio
Gauri Datta,Partha Lahiri
Malay Ghosh,Partha Lahiri
Jiming Jiang,Partha Lahiri
Arindam Chatterjee,Soumendra Nath Lahiri
Noel Cressie,Soumendra Nath Lahiri
Peter Hall,Soumendra Nath Lahiri
Mark Bebbington,Chin-diew Lai
K. Govindaraju,Chin-diew Lai
Barry R. Davis,Dejian Lai
Robert J. Hardy,Dejian Lai
Garrett Fitzmaurice,Nan Laird
David Harrington,Nan Laird
Joseph W. Hogan,Nan Laird
Nick Horton,Nan Laird
Belkacem Abdous,Lajmi Lakhal-chaieb
Feng 1 Chen,K. F. Lam
Yin Bun Cheung,K. F. Lam
Jennifer S. K. Chan,Yeh Lam
Keith R. Abrams,Paul Lambert
Michael J. Crowther,Paul Lambert
Paul W. Dickman,Paul Lambert
David R. Jones,Paul Lambert
Jim E. Griffin,Demetris Lamnisos
Christina Kendziorski,H. Lan
David Demets,K. K. Gordon Lan
Max Halperin,K. K. Gordon Lan
John Lachin,K. K. Gordon Lan
Gary Koch,J. Richard Landis
Alan Agresti,Joseph Lang
Ludwig Fahrmeir,Stefan Lang
Nadja Klein,Stefan Lang
Thomas Kneib,Stefan Lang
Yuan-yan Chen,Naftali A. Langberg
Myles Hollander,Naftali A. Langberg
Nan Laird,Christoph Lange
Ørnulf Borgan,Bryan Langholz
Larry Goldstein,Bryan Langholz
David Borchers,Roland Langrock
Michel Carbon,Lanh Tat Tran
Christian Francq,Lanh Tat Tran
Marc Hallin,Lanh Tat Tran
Els Goetghebeur,Krista Lapp
Valentine Genon-catalot,Catherine Larédo
Thierry Jeantheau,Catherine Larédo
P. P. B. Eggermont,Vincent Lariccia
Randy Eubank,Vincent Lariccia
Alan Gelfand,Andrew Latimer
Jason Fine,Aurélien Latouche
Stephen Gange,Bryan Lau
Paul Damien,Purushottam Laud
Joseph Ibrahim,Purushottam Laud
Hemant Ishwaran,Michael S. Lauer
A. Philip Dawid,Steffen Lauritzen
Torsten Hothorn,Berthold Lausen
Michael Akritas,Michael Lavalley
David Dereudre,Frédéric Lavancier
Richard J. Cook,Jerry Lawless
X. J. Hu,Jerry Lawless
John D. Kalbfleisch,Jerry Lawless
Jean Bertoin,Jean-françois Le Gall
Wen Cheng,Huiling Le
Ian Dryden,Huiling Le
David B. Hitchcock,Huiling Le
Alfred Kume,Huiling Le
Paul Gustafson,Nhu Le
John Crowley,Michael Leblanc
James Y. Dai,Michael Leblanc
Charles Kooperberg,Michael Leblanc
Odd Aalen,Bruno Ledergerber
Jon Michael Gran,Bruno Ledergerber
Nicholas I. Fisher,Alan Lee
Wing Fung,Andy Lee
Yer Van Hui,Andy Lee
Michael R. Kosorok,Bee Leng Lee
María Durbán,Dae-jin Lee
Dianne Cook,Eun-kyung Lee
Robert Gramacy,Herbert K. H. Lee
Dave Higdon,Herbert K. H. Lee
David Demets,Jaewon Lee
Changha Hwang,Jaewon Lee
Sujong Kim,Jaewon Lee
Yongdai Kim,Jaeyong Lee
Yuan Ji,Juhee Lee
Richard J. Cook,Ker-ai Lee
Michael Daniels,Keunbaik Lee
Yongsung Joo,Keunbaik Lee
Robert J. Glynn,Mei Ling Ting Lee
Jianhua Huang,Seokho Lee
Anne Chao,Shen-ming Lee
Cathy W. S. Chen,Shen-ming Lee
Shu-hui Hsieh,Shen-ming Lee
Li-hui Huang,Shen-ming Lee
Peter M. Bentler,Sikyum Lee
K. Y. Cheung,Stephen Lee
Yvonne H. S. Ho,Stephen Lee
P. Y. Lai,Stephen Lee
Alexander Aue,Thomas C. M. Lee
Jan Hannig,Thomas C. M. Lee
Randy C. S. Lai,Thomas C. M. Lee
Sanggil Kang,Woo Dong Lee
Dalho Kim,Woo Dong Lee
Eun Ryung Lee,Young K. Lee
Il Do Ha,Youngjo Lee
Woojoo Lee,Youngjo Lee
Luc Duchateau,Catherine Legrand
Paul Janssen,Catherine Legrand
Peter Bickel,Erich L. Lehmann
Nicholas P. Jewell,Xiudong Lei
Bettina Grün,Friedrich Leisch
Emilia Athayde,Víctor Leiva
Cecilia Azevedo,Víctor Leiva
Narayanaswamy Balakrishnan,Víctor Leiva
José A. Díaz-garcía,Víctor Leiva
Manuel Galea,Víctor Leiva
Charles Bordenave,Marc Lelarge
Gauss M. Cordeiro,Artur Lemonte
Silvia L. P. Ferrari,Artur Lemonte
Adrian Dobra,Alex Lenkoski
George Casella,Luis León-novelo
Donald Hedeker,Andrew C. Leon
Moonseong Heo,Andrew C. Leon
John S. J. Hsu,Tom Leonard
Vo Anh,Nikolai Leonenko
Alexander Goldenshluger,Oleg Lepski
Dankmar Böhning,Rattana Lerdsuwansri
Daniel Krewski,Brian Leroux
A. Albert,Emmanuel Lesaffre
Kris Bogaerts,Emmanuel Lesaffre
Dominique Declerck,Emmanuel Lesaffre
Paul Eilers,Emmanuel Lesaffre
María José García-zattera,Emmanuel Lesaffre
Alejandro Jara,Emmanuel Lesaffre
Mike Kenward,Emmanuel Lesaffre
Arnošt Komárek,Emmanuel Lesaffre
Shaul K. Bar-lev,Gérard Letac
Daniel Commenges,Luc Letenneur
Jean-françois Dartigues,Luc Letenneur
Hélène Jacqmin-gadda,Luc Letenneur
