source,target
Abhishek Bhattacharya,David Dunson
Anirban Bhattacharya,David Dunson
Bo Cai,David Dunson
Lawrence Carin,David Dunson
Zhen Chen,David Dunson
Gregg E. Dinse,David Dunson
José E. Chacón,Tarn Duong
David Dunson,Daniele Durante
Iain D. Currie,María Durbán
Maury Bramson,Rick Durrett
J. Theodore Cox,Rick Durrett
James A. Calvin,Richard Dykstra
Chris Carolan,Richard Dykstra
Asit P. Basu,Nader Ebrahimi
Karthik Devarajan,Nader Ebrahimi
María Durbán,Paul Eilers
Jan Beirlant,John H. J. Einmahl
Laurens De Haan,John H. J. Einmahl
Paul Deheuvels,John H. J. Einmahl
Noriah M. Al-kandari,S. Ejaz Ahmed
Sana Buhamra,S. Ejaz Ahmed
Richard Dykstra,Hammou El Barmi
Douglas G. Altman,Diana Elbourne
François Curtin,Diana Elbourne
Allan Donner,Michael Eliasziw
Nicky Best,Paul Elliott
Sarah C. Emerson,Scott Emerson
Shein-chung Chow,Laszlo Endrenyi
Lee J. Bain,Max Engelhardt
Shaul K. Bar-lev,Peter Enis
Daoud Bshouty,Peter Enis
Adrian Angold,Alaattin Erkanli
Ismihan Bairamov,Serkan Eryılmaz
P. Angelopoulos,Haralambos Evangelaras
Carlos Acuña,Christel Faes
Marc Aerts,Christel Faes
Carmen Cadarso-suárez,Christel Faes
Yacine Aït-sahalia,Jianqing Fan
Jianwen Cai,Jianqing Fan
Zongwu Cai,Jianqing Fan
Jianqing Fan,Yingying Fan
A. Philip Dawid,Bi Qi Fang
Dianliang Deng,Hongbin Fang
Peter M. Bentler,Kai Tai Fang
Hongbin Fang,Kai Tai Fang
Louis H. Y. Chen,Xiao 1 Fang
Henry W. Block,Zhao Ben Fang
Devendra Chhetry,Zhao Ben Fang
Francesco Bartolucci,Alessio Farcomeni
Andrea Cerioli,Alessio Farcomeni
Odd Aalen,Vern Farewell
Jessica Barrett,Vern Farewell
Richard J. Cook,Vern Farewell
Daniela De Angelis,Vern Farewell
N. G. Cadigan,Patrick J. Farrell
Lawrence 1 Brown,Roger H. Farrell
Karim Anaya-izquierdo,Paddy Farrington
Nick Andrews,Paddy Farrington
Doyo G. Enki,Paddy Farrington
Jafar Ahmadi,M. Fashandi
Sergio Bacallado,Stefano Favaro
Erica Brittain,Michael P. Fay
Philip Brown,Tom Fearn
Antonio Cuevas,Manuel Febrero
Anthony C. Atkinson,Valerii Fedorov
Vladimir Dragalin,Valerii Fedorov
Jianqing Fan,Yang 1 Feng
Tianxi Cai,Ziding Feng
Julián De La Horra,Carmen Fernández
Denise A. Botter,Silvia L. P. Ferrari
Gauss M. Cordeiro,Silvia L. P. Ferrari
Francisco Cribari-neto,Silvia L. P. Ferrari
